ID;Name;Price;Fruit_Proportion;Fresh_Juice;Nectar;Added_Vitamins;Sugar;Added_Sugar;Sugar_Replacement;Proteins;Salt;Kcal;Apple;Orange;Pineapple;Mango;Grape;Maracuja;Peach;Pear;Banana;Apricot;Carrot;Lemon;Kiwi;Tomato;Grapefruit;Rosa_Camina;Guava;Mandarin;Papaia;Raspberry;Blueberry;Strawberry;Cherries;Median;Average;Rounded_Average;Average_Recom;Avg>=6;Med>=6
1;Continente E Nectar Multifrutas;0.68;0.5;0;1;0;5.5;0;0;0.4;0;24;0.173;0.1;0.057;0.04;0.03;0.03;0.03;0.005;0.005;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0
2;Santal - Active Drink ACE;0.97;0.15;0;1;1;4.2;1;0;0.1;0.01;17;0.015;0.025;0.015;0.015;0;0.005;0;0;0;0;0.025;0.05;0;0;0;0;0;0;0;0;0;0;0;6;5.4;5;0;0;0
3;Don Simon Tropical;1.15;0.5;0;1;0;12.3;1;0;0.2;0.01;50;0;0.2;0.15;0.1;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7.2;7;1;1;1
4;Compal Vital Tropical Cenoura;1.55;0.32;0;1;0;2.7;0;1;0;0.01;12;0.05;0;0;0.13;0;0.01;0;0;0;0;0.03;0.005;0.005;0.09;0;0;0;0;0;0;0;0;0;6;5.8;6;1;0;1
5;Compal Classico Tutti Frutti;0.99;0.5;0;1;1;8.1;1;0;0;0;37;0.09;0.07;0.11;0;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4.8;5;0;0;0
6;Um Bongo 8 Frutos;1.24;0.5;0;1;0;9;1;0;0.2;0;42;0.19;0.11;0.01;0.06;0;0.03;0;0.06;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5.4;5;0;0;0
7;Vitamont Vita 12;2.25;1;0;0;0;11.2;0;0;0.3;0.003;56;0.38;0.1;0.035;0.07;0.2;0;0.034;0.03;0.036;0.034;0;0.007;0;0;0.064;0.01;0;0;0;0;0;0;0;4;3.6;4;0;0;0
8;Santal Manga Laranja Light;1.29;0.325;0;1;0;3.5;1;1;0.2;0.008;17;0;0.15;0;0.175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3.6;4;0;0;0
9;Vitabio Fruit Kidz;2.4;1;0;0;1;11;0;0;0.1;0.01;46;0.66;0;0;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;4;3.6;4;0;0;0
10;Continente Sumo 100 Tropical;0.61;1;0;0;0;10;0;0;0.4;0;42;0.28;0.275;0.17;0.08;0;0.045;0.05;0;0.05;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;4;4.4;4;0;0;0
11;Solvita Multifrutos ACE;1.72;0.35;1;0;1;9.8;0;0;0.4;0;48;0.15;0.055;0;0;0.035;0;0;0;0;0;0.07;0.01;0;0;0;0;0;0;0;0;0;0;0.03;5;4.6;5;0;0;0
12;Auchan Sumo Pessego Maca Uva;0.79;1;0;0;1;9.4;0;0;0.5;0.01;49;0.45;0;0;0;0.05;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.4;4;0;0;0
13;Dia Sumo Tropical;0.65;1;0;0;0;10;0;0;0.6;0;57;0;0.17;0.44;0.06;0.01;0.02;0;0;0.05;0;0;0.01;0.01;0;0;0;0.05;0.18;0;0;0;0;0;5;4.8;5;1;0;0
14;Dia Tropical ;0.72;0.15;0;1;1;3.8;1;0;0.1;0;16;0;0.077;0.003;0.01;0;0.03;0;0;0;0;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;6;5.8;6;1;0;1
15;Juver 100% Multifrutas;1.17;1;0;0;1;9;0;0;0.5;0;50;0.46;0.31;0.12;0;0.04;0;0.03;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5.4;5;0;0;0
16;So Natural Manga Maca Banama;7.16;1;1;0;0;14;0;0;0.3;0;67;0.6;0;0;0.35;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3.6;4;0;0;0
17;Solevita ACE + Fruit;0.86;0.3;0;1;1;10.4;1;0;0.2;0;43;0;0.2;0;0;0;0;0;0;0;0;0.044;0.056;0;0;0;0;0;0;0;0;0;0;0;7;6.8;7;1;1;1
18;Dia Fruti Kids Tropical;1.23;0.5;0;1;1;0.097;1;0;0.1;0.01;42;0.416;0.062;0.021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6.4;6;1;1;1
19;Auchan Nectar Multifrutos;1.49;0.5;0;1;0;9.8;0;0;0.5;0.01;47;0.28;0.13;0;0.03;0;0.02;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5.2;5;0;0;0
20;So Natural Green Juices;7.16;1;1;0;0;13;0;0;0.3;0;59;0.6;0;0;0.1;0;0;0;0;0.1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4.2;4;0;0;0
21;Pingo Doce Nectrarissimo Tutti Frutti;1.4;0.5;0;1;0;9;1;0;0.2;0;40;0.28;0.09;0.06;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5.4;5;1;0;0
22;Trina Tropical;1.3;0.1;0;1;1;9.1;1;0;0.1;0.01;40;0.06;0;0.02;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5.8;6;0;0;1
23;Continente Nectrar Light Multifrutos;0.89;0.5;0;1;1;5.1;0;1;0.2;0;23;0.16;0.16;0;0;0;0.16;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.6;5;0;0;0
24;Pingo Doce Tropical Frutas e Vitaminas;1.24;0.85;0;1;1;8.6;0;0;0.2;0.01;36;0.38;0.21;0.07;0.08;0;0.05;0;0;0;0;0;0;0.02;0;0;0;0.03;0;0.01;0;0;0;0;3;3.8;4;0;0;0
25;Juver Disfruta Light;0.67;0.5;0;1;1;4.7;0;1;0.2;0.01;25;0.19;0.11;0.03;0.06;0.03;0.01;0.01;0.02;0.03;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;4;4.4;4;1;0;0
26;Compal Essential MBLA;6.27;1;1;0;0;10;0;0;0.6;0;58;0.48;0.12;0.1;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;7;1;1;1
